CDM_ID,CREATED,EMERGENCY_REPORTABLE,TCA,MIN_RNG,PC,SAT_1_ID,SAT_1_NAME,SAT1_OBJECT_TYPE,SAT1_RCS,SAT_1_EXCL_VOL,SAT_2_ID,SAT_2_NAME,SAT2_OBJECT_TYPE,SAT2_RCS,SAT_2_EXCL_VOL
"66199124","2020-12-28 18:07:11.000000","Y","2020-12-30T11:10:44.919000","975","0.0001182945","21014","COSMOS 2112","PAYLOAD","LARGE","5.00","42377","NOAA 16 DEB","DEBRIS","SMALL","1.00"
"66199595","2020-12-28 18:06:54.000000","Y","2020-12-31T15:33:20.088000","354","0.0004031328","23464","ASTRID","PAYLOAD","MEDIUM","5.00","38266","YAOGAN 7 DEB","DEBRIS","SMALL","1.00"
"66200159","2020-12-28 18:07:11.000000","Y","2020-12-31T02:50:06.225000","110","0.0006473599","27436","COSMOS 2389","PAYLOAD","LARGE","5.00","42179","COSMOS 1275 DEB","DEBRIS","SMALL","1.00"
"66200369","2020-12-28 18:06:56.000000","Y","2020-12-29T15:27:08.987000","78","0.003429658","28057","CBERS 2","PAYLOAD","LARGE","5.00","39675","COSMOS 1867 COOLANT","DEBRIS","SMALL","1.00"
"66200927","2020-12-28 18:08:59.000000","Y","2020-12-30T00:29:46.215000","118","0.0002043825","31058","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","85383","UNKNOWN","UNKNOWN","","3.00"
"66202484","2020-12-28 18:07:01.000000","Y","2020-12-29T14:38:37.732000","69","0.0005288584","37457","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","40704","METEOR 2-11 DEB","DEBRIS","SMALL","1.00"
"66203410","2020-12-28 18:06:21.000000","Y","2020-12-29T15:27:08.987000","78","0.003429658","39675","COSMOS 1867 COOLANT","DEBRIS","SMALL","1.00","28057","CBERS 2","PAYLOAD","LARGE","5.00"
"66203819","2020-12-28 18:06:52.000000","Y","2020-12-29T14:38:37.732000","69","0.0005288584","40704","METEOR 2-11 DEB","DEBRIS","SMALL","1.00","37457","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"66221167","2020-12-28 17:48:17.000000","Y","2020-12-30T12:07:47.205000","2971","","46611","CZ-3B R/B","ROCKET BODY","LARGE","0.00","2379","WESTFORD NEEDLES","DEBRIS","MEDIUM","0.00"
"66262063","2020-12-28 23:05:09.000000","Y","2020-12-29T18:55:36.168000","79","0.0001043839","11239","SL-8 R/B","ROCKET BODY","LARGE","3.00","42580","DELTA 1 DEB","DEBRIS","SMALL","1.00"
