CDM_ID,CREATED,EMERGENCY_REPORTABLE,TCA,MIN_RNG,PC,SAT_1_ID,SAT_1_NAME,SAT1_OBJECT_TYPE,SAT1_RCS,SAT_1_EXCL_VOL,SAT_2_ID,SAT_2_NAME,SAT2_OBJECT_TYPE,SAT2_RCS,SAT_2_EXCL_VOL
"163783415","2021-11-09 00:32:34.000000","Y","2021-11-09T21:03:10.899000","43","0.01074632","23180","SL-8 R/B","ROCKET BODY","LARGE","5.00","13489","COSMOS 1275 DEB","DEBRIS","SMALL","5.00"
"163783490","2021-11-09 00:32:35.000000","Y","2021-11-11T04:06:53.324000","299","0.005805249","23345","RESURS O1 DEB","DEBRIS","SMALL","5.00","28343","DMSP 5D-2 F11 DEB","DEBRIS","SMALL","5.00"
"163784225","2021-11-09 00:32:44.000000","Y","2021-11-11T07:12:07.081000","958","0.0001134752","25395","FASAT B","PAYLOAD","MEDIUM","5.00","38138","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163785031","2021-11-09 00:32:52.000000","Y","2021-11-11T22:12:33.083000","80","0.001836658","26275","CZ-4 DEB","DEBRIS","SMALL","5.00","32212","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163785384","2021-11-09 00:32:56.000000","Y","2021-11-09T18:10:45.022000","110","0.005128991","26838","DELTA 1 DEB","DEBRIS","SMALL","5.00","7161","DELTA 1 DEB","DEBRIS","SMALL","5.00"
"163785702","2021-11-09 00:32:59.000000","Y","2021-11-09T02:50:40.461000","439","0.0006695754","27406","NIMBUS 2 DEB","DEBRIS","SMALL","5.00","36301","ISIS 1 DEB","DEBRIS","SMALL","5.00"
"163785711","2021-11-09 00:33:00.000000","Y","2021-11-10T00:22:34.186000","801","0.0003724365","27432","CZ-4B R/B","ROCKET BODY","LARGE","5.00","42248","SL-16 DEB","DEBRIS","SMALL","5.00"
"163785828","2021-11-09 00:33:01.000000","Y","2021-11-11T00:51:17.537000","355","0.001098137","27582","PSLV DEB","DEBRIS","SMALL","5.00","37271","COSMOS 2251 DEB","DEBRIS","","5.00"
"163786490","2021-11-09 00:33:08.000000","Y","2021-11-09T07:04:55.229000","67","0.005146024","28331","DMSP 5D-2 F11 DEB","DEBRIS","SMALL","5.00","43403","CZ-2D DEB","DEBRIS","SMALL","5.00"
"163786512","2021-11-09 00:33:09.000000","Y","2021-11-11T04:06:53.324000","299","0.005805249","28343","DMSP 5D-2 F11 DEB","DEBRIS","SMALL","5.00","23345","RESURS O1 DEB","DEBRIS","SMALL","5.00"
"163787208","2021-11-09 00:33:17.000000","Y","2021-11-10T07:06:17.103000","272","0.0007111436","29054","ASTRO F DEB (LENS COVER)","DEBRIS","MEDIUM","5.00","42544","THORAD AGENA D DEB","DEBRIS","SMALL","5.00"
"163787267","2021-11-09 00:33:18.000000","Y","2021-11-11T17:22:08.855000","294","0.0012592","29083","DMSP 5D-2 F11 DEB","DEBRIS","SMALL","5.00","42168","COSMOS 1275 DEB","DEBRIS","SMALL","5.00"
"163787582","2021-11-09 00:33:21.000000","Y","2021-11-10T18:46:26.702000","49","0.0001206877","29524","DMSP 5D-3 F17 DEB","DEBRIS","SMALL","5.00","13022","COSMOS 1275 DEB","DEBRIS","SMALL","5.00"
"163788079","2021-11-09 00:33:27.000000","Y","2021-11-10T21:40:20.120000","215","0.0005166259","29904","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","30844","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163788693","2021-11-09 00:33:34.000000","Y","2021-11-11T10:43:37.519000","88","0.00156328","30124","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","40690","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163788811","2021-11-09 00:33:36.000000","Y","2021-11-11T21:37:51.426000","735","0.0004990745","30190","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","37708","FENGYUN 1C DEB","DEBRIS","SMALL","5.00"
"163788880","2021-11-09 00:33:36.000000","Y","2021-11-10T09:39:50.058000","516","0.0001069451","30200","FENGYUN 1C DEB","DEBRIS","SMALL","5.00","87972","UNKNOWN","UNKNOWN","SMALL","5.00"
